145,57,1
140,173,1
145,58,1
99,60,1
24,153,1
140,78,1
140,82,1
163,128,1
140,157,1
63,163,1
167,103,1
92,9,1
145,27,1
178,147,1
163,94,1
92,123,1
63,167,1
124,103,1
145,51,1
92,38,1
124,95,1
63,146,1
51,66,1
140,56,1
66,128,1
145,82,1
60,99,1
169,155,1
145,111,1
145,163,1
60,165,1
145,147,1
60,162,1
60,169,1
163,27,1
145,105,1
145,107,1
137,56,1
145,146,1
63,58,1
178,82,1
167,33,1
114,123,2
114,110,2
114,169,2
114,65,2
114,155,2
114,38,2
114,112,2
114,112,3
114,155,3
112,114,3
114,160,3
114,22,3
112,65,3
112,145,3
114,11,3
123,114,3
114,110,3
114,169,3
114,65,3
114,145,3
114,123,4
114,160,4
114,112,4
114,65,4
114,145,4
114,50,4
114,155,4
114,38,4
114,169,4
114,29,4
114,22,4
114,110,4
114,155,5
114,169,5
114,22,6
114,169,6
114,155,6
114,38,6
114,65,6
114,65,7
114,155,7
65,160,8
155,145,8
114,169,8
22,65,8
65,22,8
65,38,8
169,114,8
107,114,8
114,112,8
169,46,8
112,65,8
114,165,8
169,165,8
114,107,8
38,11,8
155,114,8
114,38,8
38,65,8
169,110,8
114,110,8
169,155,8
38,112,8
38,114,8
160,22,8
112,114,8
155,110,8
155,169,8
114,155,8
160,22,9
114,38,9
155,114,9
169,6,9
114,112,9
114,169,9
38,11,9
169,165,9
114,107,9
155,110,9
114,155,9
114,165,9
107,114,9
169,110,9
169,155,9
50,167,9
112,107,9
38,96,9
114,110,9
145,128,9
169,114,9
114,160,10
160,22,10
169,165,10
107,51,10
169,38,10
160,65,10
107,114,10
145,51,10
160,114,10
114,165,10
155,114,10
165,155,10
169,155,10
29,49,10
145,112,10
155,169,10
29,160,10
38,112,10
38,96,10
29,65,10
114,155,10
155,110,10
17,22,10
114,169,10
114,38,10
155,165,10
169,110,10
38,145,10
38,11,10
114,65,10
29,22,10
114,107,10
114,110,10
169,114,10
114,160,11
169,107,11
38,112,11
114,107,11
169,155,11
38,96,11
114,38,11
169,165,11
155,114,11
38,65,11
114,165,11
169,110,11
169,11,11
38,11,11
114,65,11
157,155,11
17,22,11
22,65,11
65,22,11
107,114,11
169,114,11
114,169,11
169,82,11
112,38,11
155,110,11
29,22,11
114,155,11
50,167,11
169,38,11
114,112,11
17,26,11
29,160,11
165,155,11
155,169,11
114,110,11
38,145,11
29,65,11
155,165,11
107,114,12
169,114,12
114,38,12
169,160,12
114,65,12
169,65,12
114,107,12
165,155,12
114,29,12
169,110,12
169,22,12
114,169,12
169,29,12
169,38,12
112,160,12
155,114,12
169,107,12
155,169,12
112,65,12
114,165,12
114,110,12
155,165,12
114,22,12
169,155,12
22,65,12
38,11,12
38,65,12
38,112,12
38,114,12
146,163,12
50,22,12
146,58,12
155,110,12
50,33,12
114,155,12
145,112,12
114,160,12
95,27,12
95,145,12
163,109,12
169,165,12
22,143,12
169,163,12
145,51,13
107,114,13
114,145,13
38,65,13
63,146,13
63,58,13
110,169,13
114,112,13
114,110,13
112,114,13
169,114,13
155,165,13
169,107,13
169,160,13
112,38,13
38,112,13
169,65,13
114,169,13
145,112,13
112,65,13
107,169,13
155,78,13
155,169,13
114,22,13
163,146,13
163,67,13
65,114,13
95,145,13
114,155,13
169,155,13
114,107,13
155,114,13
114,65,13
163,63,13
163,94,13
114,160,13
114,29,13
114,123,13
165,155,13
155,110,13
114,165,13
50,33,13
38,11,13
169,38,13
65,160,13
169,165,13
114,38,13
114,50,13
160,114,13
160,65,13
169,110,13
110,114,14
169,165,14
112,38,14
110,155,14
169,155,14
38,112,14
114,169,14
155,29,14
169,107,14
112,145,14
112,163,14
155,165,14
38,11,14
169,110,14
114,65,14
114,107,14
155,169,14
38,65,14
110,169,14
65,22,14
145,112,14
65,160,14
114,110,14
160,114,14
58,146,14
65,114,14
155,110,14
58,109,14
169,153,14
155,114,14
169,114,14
169,65,14
114,160,14
107,114,14
114,165,14
155,145,14
114,155,14
50,65,14
58,63,14
153,26,15
169,38,15
153,82,15
38,51,15
153,36,15
38,11,15
153,66,15
153,62,15
153,51,15
153,60,15
38,21,15
11,96,15
145,38,15
153,52,15
153,39,15
110,38,15
11,112,15
167,95,15
114,110,15
114,160,15
153,167,15
153,171,15
33,98,15
33,158,15
11,155,15
167,33,15
114,65,15
153,87,15
153,143,15
153,141,15
153,132,15
98,178,15
169,110,15
33,167,15
167,103,15
82,84,15
82,51,15
153,90,15
114,38,15
11,38,15
155,114,15
123,112,15
17,56,15
169,160,15
38,146,15
39,118,15
146,163,15
169,114,15
39,141,15
169,155,15
50,22,15
17,156,15
17,143,15
58,109,15
169,165,15
51,145,15
17,88,15
114,155,15
114,107,15
110,155,15
169,112,15
145,163,15
145,146,15
155,165,15
50,70,15
155,110,15
155,169,15
38,145,15
17,157,15
145,96,15
38,65,15
112,145,15
114,165,15
178,109,15
17,2,15
151,161,15
38,96,15
114,169,15
112,114,15
114,112,15
155,11,15
58,163,15
58,146,15
155,38,15
17,166,15
112,107,15
